internallyの持つ意味はどれか,前衛的な,存続する,内部的には,萌ゆる,3
preserveの持つ意味はどれか,見繕う,保護する,リスク,堅牢な,2
emphasizeの持つ意味はどれか,籠絡する,定期的的な,強調する,便宜的な,3
contingencyの持つ意味はどれか,偶然性,必然的,緊急の,勾配,1
occupyの持つ意味はそれか,実行する,消化する,専門の,占める,4
elementの持つ意味はどれか,要素,電子,駒,会社,1
bugの持つ意味はどれか,溝,不具合,綺麗な,整合性,2
requirementの持つ意味はどれか,要件,整理,態勢,祈祷,1
componentの持つ意味はどれか,飽和,言語,構成要素,優先事項,3
sourceの持つ意味はどれか,投影する,範囲的な,冷静な,ソース,4
valueの持つ意味はどれか,値,講義,脱出,輪廻,1
defaultの持つ意味はどれか,競争,初期値,不可視な,固定,2
typeの持つ意味はどれか,憔悴,抑揚,型,インデント,3
attributeの持つ意味はどれか,属性,上司,通訳,常時,1
