identifierの持つ意味はどれか,未確認,識別子,装甲,主な,2,"identifier  識別子、識別名"
optimizeの持つ意味はどれか,尊敬する,最適化,宗教的な,浸透,2,"optimize  最適化、有効に"
optionallyの持つ意味はどれか,強欲な,魅力的な,放任する,任意に,4,optionally  任意に
categorizeの持つ意味はどれか,集合する,忘れる,分類する,見放す,3,categorize  分類する
priorの持つ意味はどれか,事前の,優先事項,背信,放棄,1,"prior  事前の、先の"
quoteの持つ意味はどれか,保管する,引用する,解散する,大義の,2,"quote  引用する、見積もる"
emphasisの持つ意味はどれか,強調する,登頂する,訂正する,命令する,1,"emphasis  強調する、重点"
executableの持つ意味はどれか,言語的な,妄言,実行可能な,最低限の,3,executable  実行可能な
chunkの持つ意味はどれか,バグ,バージョン,飽和,かたまり,4,"chunk  かたまり、多量"
reproduceの持つ意味はどれか,廃止する,再現する,構成する,害する,2,"reproduce  再現する、繁殖する"
minifyの持つ意味はどれか,縮小する,疲労困憊,焦点を合わせる,拡大する,1,minify  縮小する
comprehensiveの持つ意味はどれか,指定された,記録的な,美麗な,包括的な,4,"comprehensive  包括的な、はっきりした"
accesibleの持つ意味はどれか,手続き,宣言型,アクセス可能な,記念すべき,3,accesible  アクセス可能な
computationの持つ意味はどれか,生産,計算,工業,揚力,2,"computation  計算、コンピュータ処理"
electronicの持つ意味はどれか,信用性,反発,電子の,音楽性,3,"electronic  電子の、コンピュータ"
deploymentの持つ意味はどれか,圧縮,改竄,展開,改正,3,"deployment  展開、配置"
asynchronousの持つ意味はどれか,季節的な,生物学上の,共通の,非同期な,4,asynchronous  非同期な
paragraphの持つ意味はどれか,段落,章,タイトル,一文,1,"paragraph  段落、節"
flowchartの持つ意味はどれか,流れ図,航海図,理想的な,処理限界,1,flowchart  流れ図
communicationの持つ意味はどれか,速度,濃度,日照,通信,4,"communication  通信、やりとり"
internallyの持つ意味はどれか,前衛的な,存続する,内部的には,萌ゆる,3,"internally  内部的には、内面"
preserveの持つ意味はどれか,見繕う,保護する,リスク,堅牢な,2,"preserve  保護する、保存する"
emphasizeの持つ意味はどれか,籠絡する,定期的的な,強調する,便宜的な,3,"emphasize  強調する、重要視する"
contingencyの持つ意味はどれか,偶然性,必然的,緊急の,勾配,1,"contingency  偶然性、不慮の事故"
occupyの持つ意味はそれか,実行する,消化する,専門の,占める,4,"occupy  占める、居住する"
elementの持つ意味はどれか,要素,電子,駒,会社,1,"element  要素、部分"
bugの持つ意味はどれか,溝,不具合,綺麗な,整合性,2,"bug  不具合、昆虫"
requirementの持つ意味はどれか,要件,整理,態勢,祈祷,1,"requirement  要件、必需品"
componentの持つ意味はどれか,飽和,言語,構成要素,優先事項,3,"component  構成要素、部品"
sourceの持つ意味はどれか,投影する,範囲的な,冷静な,ソース,4,"source  ソース、源"
valueの持つ意味はどれか,値,講義,脱出,輪廻,1,"value  値、価格"
defaultの持つ意味はどれか,競争,初期値,不可視な,固定,2,"default  初期値、棄権"
typeの持つ意味はどれか,憔悴,抑揚,型,インデント,3,"type  型、種類"
attributeの持つ意味はどれか,属性,上司,通訳,常時,1,"attribute  属性、帰する"
